user_id,amplitude_id,total_events,high_signal_events,cancellation_signals,error_events,meaningful_screens,latest_events,num_sessions,first_used,last_used,platform,country,app_version,device,os,revenue,paying,subscription_status,subscription_plan,subscription_period,fleet_size,total_routes_created,total_routes_optimized,total_stops_planned,account_created_at,company_name,industry,user_role,plan_type,user_type,analysis_report,error,elapsed_seconds,found_backend_cancel_event,cancel_reason,cancel_note,cancel_from,payment_interval,amount_usd,cancel_event_time
1022983--00,587646803792,500,backend_route_creation_v1 | cancel_subscription_button_v1 | begin_checkout_v1 | login_v1 | save_and_optimize_v1 | backend_cancel_subscription_v1 | navigate_via_v1 | sign_up_v1,cancel_subscription_button_v1 | backend_cancel_subscription_v1,,,open_app_v1 | open_app_v1 | open_app_v1 | onboarding_page_v1 | open_app_v1 | backend_route_creation_v1 | fleet_add_stop_button | backend_route_creation_v1 | fleet_add_stop_button | backend_route_creation_v1,866,2023-03-05,2026-04-07,Android,Poland,28.9,Google Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1022983--00 | Amplitude ID: 587646803792 | Total events: 500 | High signal events: backend_route_creation_v1 | cancel_subscription_button_v1 | begin_checkout_v1 | login_v1 | save_and_optimize_v1 | backend_cancel_subscription_v1 | navigate_via_v1 | sign_up_v1 | Cancellation signals: cancel_subscription_button_v1 | backend_cancel_subscription_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | open_app_v1 | open_app_v1 | onboarding_page_v1 | open_app_v1 | backend_route_creation_v1 | fleet_add_stop_button | backend_route_creation_v1 | fleet_add_stop_button | backend_route_creation_v1,,7.09,no,N/A,N/A,N/A,N/A,N/A,
1035106--00,611310959024,500,backend_cancel_subscription_v1 | create_new_route_v1 | login_v1 | cancel_subscription_button_v1 | sign_up_v1 | navigate_via_v1 | backend_route_creation_v1,backend_cancel_subscription_v1 | cancel_subscription_button_v1,,,backend_cancel_subscription_v1 | fleet_plans_and_payment_popup_shown | fleet_plans_and_payment_popup_shown | add_stop_screen_v1 | create_new_route_v1 | fleet_plans_and_payment_popup_shown | login_v1 | signup_page_v1 | onboarding_page_v1 | open_app_v1,127,2023-04-03,2026-03-24,iOS,United States,15.1,Apple iPhone,ios 26.3.1,0.0,,,,,,,,,,,,,,,User ID: 1035106--00 | Amplitude ID: 611310959024 | Total events: 500 | High signal events: backend_cancel_subscription_v1 | create_new_route_v1 | login_v1 | cancel_subscription_button_v1 | sign_up_v1 | navigate_via_v1 | backend_route_creation_v1 | Cancellation signals: backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: backend_cancel_subscription_v1 | fleet_plans_and_payment_popup_shown | fleet_plans_and_payment_popup_shown | add_stop_screen_v1 | create_new_route_v1 | fleet_plans_and_payment_popup_shown | login_v1 | signup_page_v1 | onboarding_page_v1 | open_app_v1,,5.15,yes,by webhook,by webhook,by_user,year,150.0,2026-03-24 15:35:48.000000
1048543--00,640533476893,500,first_delivery_added_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1,,,,add_stop_screen_v1 | edit_route_v1 | stop_detail_update_v1 | stop_detail_open_v1 | end_location_entered_v1 | start_location_entered_v1 | start_route_v1 | edit_route_v1 | add_stop_screen_v1 | Add_Stop_Button_v1,325,2023-05-15,2026-04-07,Android,Brazil,28.9,POCO Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1048543--00 | Amplitude ID: 640533476893 | Total events: 500 | High signal events: first_delivery_added_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1 | Cancellation signals: none | Error events: none | Meaningful screens: none | Latest events: add_stop_screen_v1 | edit_route_v1 | stop_detail_update_v1 | stop_detail_open_v1 | end_location_entered_v1 | start_location_entered_v1 | start_route_v1 | edit_route_v1 | add_stop_screen_v1 | Add_Stop_Button_v1,,6.12,no,N/A,N/A,N/A,N/A,N/A,
1063636--00,668085511134,500,navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | create_new_route_v1 | cancel_subscription_button_v1 | backend_cancel_subscription_v1,cancel_subscription_button_v1 | backend_cancel_subscription_v1,,,navigate_via_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1 | open_app_v1,2081,2023-06-26,2026-04-01,iOS,Brazil,15.3,Apple iPhone,ios 26.3.1,0.0,,,,,,,,,,,,,,,User ID: 1063636--00 | Amplitude ID: 668085511134 | Total events: 500 | High signal events: navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | create_new_route_v1 | cancel_subscription_button_v1 | backend_cancel_subscription_v1 | Cancellation signals: cancel_subscription_button_v1 | backend_cancel_subscription_v1 | Error events: none | Meaningful screens: none | Latest events: navigate_via_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1 | open_app_v1,,5.80,no,N/A,N/A,N/A,N/A,N/A,
1069491--00,678324692674,500,save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | backend_cancel_subscription_v1 | cancel_subscription_button_v1,backend_cancel_subscription_v1 | cancel_subscription_button_v1,,,start_route_v1 | edit_route_v1 | end_location_entered_v1 | start_location_entered_v1 | save_and_optimize_v1 | backend_route_creation_v1 | end_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1,1135,2023-07-12,2026-04-06,Android,Brazil,28.9,Samsung Phone,android 13,0.0,,,,,,,,,,,,,,,User ID: 1069491--00 | Amplitude ID: 678324692674 | Total events: 500 | High signal events: save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Cancellation signals: backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: start_route_v1 | edit_route_v1 | end_location_entered_v1 | start_location_entered_v1 | save_and_optimize_v1 | backend_route_creation_v1 | end_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1,,7.04,yes,by webhook,by webhook,by_user,quarter,24.807,2026-03-20 05:57:39.000000
1077277--00,692118021242,500,cancel_subscription_button_v1 | create_new_route_v1 | first_stop_added_v1 | navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1,cancel_subscription_button_v1,,,cancel_subscription_button_v1 | add_stop_screen_v1 | create_new_route_v1 | first_stop_added_v1 | add_stop_screen_v1 | create_new_route_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1,8287,2023-08-01,2026-03-21,iOS,Belgium,15.1,Apple iPhone,ios 26.3.1,0.0,,,,,,,,,,,,,,,User ID: 1077277--00 | Amplitude ID: 692118021242 | Total events: 500 | High signal events: cancel_subscription_button_v1 | create_new_route_v1 | first_stop_added_v1 | navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1 | Cancellation signals: cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: cancel_subscription_button_v1 | add_stop_screen_v1 | create_new_route_v1 | first_stop_added_v1 | add_stop_screen_v1 | create_new_route_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | navigate_via_v1,,6.28,no,N/A,N/A,N/A,N/A,N/A,
1089119--00,716703161988,500,save_and_optimize_v1 | first_stop_added_v1 | backend_route_creation_v1,,,,open_app_v1 | open_app_v1 | open_app_v1 | open_app_v1 | open_app_v1 | edit_route_v1 | end_location_entered_v1 | start_location_entered_v1 | open_app_v1 | open_app_v1,5163,2023-09-05,2026-04-07,Android,Brazil,28.9,Motorola Phone,android 15,0.0,,,,,,,,,,,,,,,User ID: 1089119--00 | Amplitude ID: 716703161988 | Total events: 500 | High signal events: save_and_optimize_v1 | first_stop_added_v1 | backend_route_creation_v1 | Cancellation signals: none | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | open_app_v1 | open_app_v1 | open_app_v1 | open_app_v1 | edit_route_v1 | end_location_entered_v1 | start_location_entered_v1 | open_app_v1 | open_app_v1,,8.20,no,N/A,N/A,N/A,N/A,N/A,
1095695--00,731550860910,500,save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1 | cancel_subscription_button_v1,cancel_subscription_button_v1,,,start_route_v1 | save_and_optimize_v1 | end_location_entered_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1 | create_new_route_v1 | open_app_v1,5350,2023-09-24,2026-04-07,Android,Brazil,28.9,Redmi Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1095695--00 | Amplitude ID: 731550860910 | Total events: 500 | High signal events: save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1 | cancel_subscription_button_v1 | Cancellation signals: cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: start_route_v1 | save_and_optimize_v1 | end_location_entered_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1 | create_new_route_v1 | open_app_v1,,7.96,no,N/A,N/A,N/A,N/A,N/A,
1102945--00,746210916649,500,cancel_subscription_button_v1 | navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | create_new_route_v1 | backend_cancel_subscription_v1,cancel_subscription_button_v1 | backend_cancel_subscription_v1,,,cancel_subscription_button_v1 | cancel_subscription_button_v1 | cancel_subscription_button_v1 | cancel_subscription_button_v1 | open_app_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | start_route_v1 | save_and_optimize_v1,1214,2023-10-15,2026-03-24,iOS,Italy,15.1,Apple iPhone,ios 26.2.1,0.0,,,,,,,,,,,,,,,User ID: 1102945--00 | Amplitude ID: 746210916649 | Total events: 500 | High signal events: cancel_subscription_button_v1 | navigate_via_v1 | save_and_optimize_v1 | backend_route_creation_v1 | first_stop_added_v1 | create_new_route_v1 | backend_cancel_subscription_v1 | Cancellation signals: cancel_subscription_button_v1 | backend_cancel_subscription_v1 | Error events: none | Meaningful screens: none | Latest events: cancel_subscription_button_v1 | cancel_subscription_button_v1 | cancel_subscription_button_v1 | cancel_subscription_button_v1 | open_app_v1 | open_app_v1 | navigate_via_v1 | navigate_via_v1 | start_route_v1 | save_and_optimize_v1,,6.20,no,N/A,N/A,N/A,N/A,N/A,
1110098--00,761115677363,500,save_and_optimize_v1 | first_stop_added_v1 | backend_route_creation_v1 | cancel_subscription_button_v1 | begin_checkout_v1 | backend_cancel_subscription_v1,cancel_subscription_button_v1 | backend_cancel_subscription_v1,,,open_app_v1 | start_route_v1 | save_and_optimize_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1,238,2023-11-04,2026-04-07,Android,Italy,28.9,Samsung Phone,android 14,0.0,,,,,,,,,,,,,,,User ID: 1110098--00 | Amplitude ID: 761115677363 | Total events: 500 | High signal events: save_and_optimize_v1 | first_stop_added_v1 | backend_route_creation_v1 | cancel_subscription_button_v1 | begin_checkout_v1 | backend_cancel_subscription_v1 | Cancellation signals: cancel_subscription_button_v1 | backend_cancel_subscription_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | start_route_v1 | save_and_optimize_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1 | first_stop_added_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1,,7.65,no,N/A,N/A,N/A,N/A,N/A,
1114523--00,767589816210,500,backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | login_v1,,,,open_app_v1 | start_route_v1 | edit_route_v1 | stop_added_v1 | add_stop_screen_v1 | Add_Stop_Button_v1 | end_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | start_location_entered_v1,1753,2023-11-14,2026-04-06,Android,Brazil,28.9,POCO Phone,android 12,0.0,,,,,,,,,,,,,,,User ID: 1114523--00 | Amplitude ID: 767589816210 | Total events: 500 | High signal events: backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | login_v1 | Cancellation signals: none | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | start_route_v1 | edit_route_v1 | stop_added_v1 | add_stop_screen_v1 | Add_Stop_Button_v1 | end_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | start_location_entered_v1,,6.52,no,N/A,N/A,N/A,N/A,N/A,
112168--00,386879069841,500,first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1 | save_and_optimize_v1 | cancel_subscription_button_v1,cancel_subscription_button_v1,,,open_app_v1 | edit_route_v1 | stop_added_v1 | stop_added_v1 | add_stop_screen_v1 | Add_Stop_Button_v1 | end_location_entered_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1,3565,2022-03-01,2026-04-03,Android,Italy,28.9,Redmi Phone,android 13,0.0,,,,,,,,,,,,,,,User ID: 112168--00 | Amplitude ID: 386879069841 | Total events: 500 | High signal events: first_stop_added_v1 | create_new_route_v1 | backend_route_creation_v1 | save_and_optimize_v1 | cancel_subscription_button_v1 | Cancellation signals: cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | edit_route_v1 | stop_added_v1 | stop_added_v1 | add_stop_screen_v1 | Add_Stop_Button_v1 | end_location_entered_v1 | start_location_entered_v1 | done_adding_stop_v1 | first_stop_added_v1,,5.89,no,N/A,N/A,N/A,N/A,N/A,
1128292--00,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,User ID: 1128292--00 | Amplitude ID: not found | Total events: 0 | High signal events: none | Cancellation signals: none | Error events: none | Meaningful screens: none | Latest events: none | Error: The read operation timed out,The read operation timed out,11.18,yes,Subscription was canceled by the developer,N/A,by_user,year,169.9,2026-03-31 15:46:46.000000
1128521--00,788647137108,500,first_stop_added_v1 | save_and_optimize_v1 | create_new_route_v1 | backend_route_creation_v1 | cancel_subscription_button_v1 | login_v1,cancel_subscription_button_v1,,,open_app_v1 | edit_route_v1 | end_location_entered_v1 | end_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1 | start_route_v1,1102,2023-12-14,2026-04-07,Android,Italy,28.9,Samsung Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1128521--00 | Amplitude ID: 788647137108 | Total events: 500 | High signal events: first_stop_added_v1 | save_and_optimize_v1 | create_new_route_v1 | backend_route_creation_v1 | cancel_subscription_button_v1 | login_v1 | Cancellation signals: cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | edit_route_v1 | end_location_entered_v1 | end_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | first_stop_added_v1 | first_stop_added_v1 | add_stop_screen_v1 | start_route_v1,,7.19,no,N/A,N/A,N/A,N/A,N/A,
1152937--00,831797239981,477,backend_cancel_subscription_v1 | cancel_subscription_button_v1 | login_v1 | backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | sign_up_v1,backend_cancel_subscription_v1 | cancel_subscription_button_v1,,,open_app_v1 | open_app_v1 | backend_cancel_subscription_v1 | payment_send_v1 | cancel_subscription_button_v1 | open_app_v1 | backend_subscription_history_v1 | open_app_v1 | open_app_v1 | fleet_add_stop_button,44,2024-02-15,2026-04-07,Android,United States,28.9,Samsung Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1152937--00 | Amplitude ID: 831797239981 | Total events: 477 | High signal events: backend_cancel_subscription_v1 | cancel_subscription_button_v1 | login_v1 | backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | create_new_route_v1 | sign_up_v1 | Cancellation signals: backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | open_app_v1 | backend_cancel_subscription_v1 | payment_send_v1 | cancel_subscription_button_v1 | open_app_v1 | backend_subscription_history_v1 | open_app_v1 | open_app_v1 | fleet_add_stop_button,,5.55,yes,It's too expensive,N/A,by_user,month,17.99,2026-04-04 07:01:26.000000
1160542--00,844872870219,500,backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | login_v1 | create_new_route_v1 | backend_cancel_subscription_v1 | cancel_subscription_button_v1,backend_cancel_subscription_v1 | cancel_subscription_button_v1,,,open_app_v1 | start_route_v1 | edit_route_v1 | start_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | start_location_entered_v1 | edit_route_v1 | stop_added_v1 | add_stop_screen_v1,2637,2024-03-05,2026-03-31,Android,United States,28.9,Samsung Phone,android 16,0.0,,,,,,,,,,,,,,,User ID: 1160542--00 | Amplitude ID: 844872870219 | Total events: 500 | High signal events: backend_route_creation_v1 | save_and_optimize_v1 | first_stop_added_v1 | login_v1 | create_new_route_v1 | backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Cancellation signals: backend_cancel_subscription_v1 | cancel_subscription_button_v1 | Error events: none | Meaningful screens: none | Latest events: open_app_v1 | start_route_v1 | edit_route_v1 | start_location_entered_v1 | start_location_entered_v1 | edit_route_v1 | start_location_entered_v1 | edit_route_v1 | stop_added_v1 | add_stop_screen_v1,,6.16,yes,User canceled the subscription,N/A,by_user,week,10.0,2026-03-17 14:46:45.000000
